Player,Overs,Mdns,Runs,Wkts,Econ,Ave,SR,Ground,Start Date,temp,humidity,windspeed,conditions,format,opposition
AU Rashid,45.3,2,178,7,3.91,25.42,39,Rajkot,9 Nov 2016,77.4,44.9,6.3,Clear,Test,India
AU Rashid,58.4,5,192,6,3.27,32,58.6,Visakhapatnam,17 Nov 2016,79.6,67.3,17.7,Clear,Test,India
AU Rashid,43,6,146,5,3.39,29.2,51.6,Mohali,26 Nov 2016,69.5,38.8,16.1,Clear,Test,India
AU Rashid,55.3,5,192,4,3.45,48,83.2,Wankhede,8 Dec 2016,N/A,N/A,N/A,N/A,Test,India
AU Rashid,29.4,1,153,1,5.15,153,178,Chennai,16 Dec 2016,80.2,74,11.4,Partially cloudy,Test,India
AU Rashid,5,0,50,0,10,-,-,Pune,15 Jan 2017,69.9,68.5,10.7,Partially cloudy,ODI,India
AU Rashid,-,-,-,-,-,-,-,Kanpur,26 Jan 2017,66.2,73.3,10.3,Partially cloudy,T20I,India
AU Rashid,3,0,24,1,8,24,18,Nagpur,29 Jan 2017,69.7,53.4,5.8,Clear,T20I,India
AU Rashid,2,0,23,0,11.5,-,-,Bengaluru,1 Feb 2017,72,53.9,10.3,Clear,T20I,India
AU Rashid,9,1,43,1,4.77,43,54,North Sound,3 Mar 2017,44.5,46.2,20.7,"Snow, Rain, Partially cloudy",ODI,West Indies
AU Rashid,9,0,53,2,5.88,26.5,27,North Sound,5 Mar 2017,36.6,53.2,14.5,Clear,ODI,West Indies
AU Rashid,1.2,0,5,1,3.75,5,8,Bridgetown,9 Mar 2017,80,72.1,28.9,Partially cloudy,ODI,West Indies
AU Rashid,8,0,27,5,3.37,5.4,9.6,Bristol,5 May 2017,51.5,66.7,22.8,Partially cloudy,ODI,Ireland
AU Rashid,10,0,68,1,6.8,68,60,Lord's,7 May 2017,47.4,62.6,30.6,Partially cloudy,ODI,Ireland
AU Rashid,10,0,69,2,6.9,34.5,30,Leeds,24 May 2017,61.3,81.2,11.2,Partially cloudy,ODI,South Africa
AU Rashid,6,0,41,0,6.83,-,-,Southampton,27 May 2017,60.9,85.2,17.3,"Rain, Partially cloudy",ODI,South Africa
AU Rashid,-,-,-,-,-,-,-,Lord's,29 May 2017,42.5,73,22.2,Partially cloudy,ODI,South Africa
AU Rashid,10,0,47,2,4.7,23.5,30,Cardiff,6 Jun 2017,54.5,80.5,30.7,"Rain, Partially cloudy",ODI,New Zealand
AU Rashid,10,1,41,4,4.1,10.25,15,Birmingham,10 Jun 2017,60.8,84.5,16.6,"Rain, Partially cloudy",ODI,Australia
AU Rashid,10,0,54,1,5.4,54,60,Cardiff,14 Jun 2017,62,78.3,10.2,Clear,ODI,Pakistan
AU Rashid,4,0,25,3,6.25,8.33,8,Chester-le-Street,16 Sep 2017,49.8,88.1,10.5,"Rain, Partially cloudy",T20I,West Indies
AU Rashid,9,0,31,2,3.44,15.5,27,Manchester,19 Sep 2017,49.8,88,4.6,"Rain, Partially cloudy",ODI,West Indies
AU Rashid,-,-,-,-,-,-,-,Nottingham,21 Sep 2017,56,92.4,11.8,"Rain, Partially cloudy",ODI,West Indies
AU Rashid,6,0,34,3,5.66,11.33,12,Bristol,24 Sep 2017,58.5,90.1,11.3,"Rain, Partially cloudy",ODI,West Indies
AU Rashid,10,0,67,1,6.7,67,60,The Oval,27 Sep 2017,52.1,74.2,14.6,"Rain, Partially cloudy",ODI,West Indies
AU Rashid,10,1,42,1,4.2,42,60,Southampton,29 Sep 2017,60,87.9,14,"Rain, Partially cloudy",ODI,West Indies
AU Rashid,10,0,73,2,7.3,36.5,30,Melbourne,14 Jan 2018,61.4,60,12.9,"Rain, Partially cloudy",ODI,Australia
AU Rashid,10,0,71,2,7.1,35.5,30,Brisbane,19 Jan 2018,74.5,62.1,14.8,Clear,ODI,Australia
AU Rashid,10,0,51,2,5.1,25.5,30,Sydney,21 Jan 2018,75.6,69.3,25.5,Partially cloudy,ODI,Australia
AU Rashid,10,0,49,3,4.9,16.33,20,Adelaide,26 Jan 2018,77.2,38.1,10.4,"Rain, Partially cloudy",ODI,Australia
